Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603,-24.35,-107.2,180,bottom
C2,22pF,C_0603,-27.75,-108.8,180,bottom
C3,22pF,C_0603,-24.35,-108.8,180,bottom
C4,100nF,C_0603,-29.96967,-98.33033,45,bottom
C5,100nF,C_0603,-46.8,-109.3,225,bottom
C6,100nF,C_0603,-32.56,-95.85,45,bottom
C7,100nF,C_0603,-43.71967,-95.96967,315,bottom
C8,4.7uF,C_0603,-22.9,-100.95,270,bottom
D1,1N4148WS,D_SOD-323,-42.6,-35.8,270,bottom
D2,1N4148WS,D_SOD-323,-66.4,-35.8,270,bottom
D3,1N4148WS,D_SOD-323,-85.4,-35.8,270,bottom
D4,1N4148WS,D_SOD-323,-104.4,-35.8,270,bottom
D5,1N4148WS,D_SOD-323,-123.4,-35.8,270,bottom
D6,1N4148WS,D_SOD-323,-142.4,-35.8,270,bottom
D7,1N4148WS,D_SOD-323,-158.5,-39.1,270,bottom
D8,1N4148WS,D_SOD-323,-180.4,-35.8,270,bottom
D9,1N4148WS,D_SOD-323,-199.4,-35.8,270,bottom
D10,1N4148WS,D_SOD-323,-218.4,-35.8,270,bottom
D11,1N4148WS,D_SOD-323,-237.4,-35.8,270,bottom
D12,1N4148WS,D_SOD-323,-256.4,-35.8,270,bottom
D13,1N4148WS,D_SOD-323,-275.4,-35.8,270,bottom
D14,1N4148WS,D_SOD-323,-294.4,-35.8,270,bottom
D15,1N4148WS,D_SOD-323,-45,-54.8,270,bottom
D16,1N4148WS,D_SOD-323,-71.2,-54.8,270,bottom
D17,1N4148WS,D_SOD-323,-90.2,-54.8,270,bottom
D18,1N4148WS,D_SOD-323,-109.2,-54.8,270,bottom
D19,1N4148WS,D_SOD-323,-128.2,-54.8,270,bottom
D20,1N4148WS,D_SOD-323,-147.2,-54.8,270,bottom
D21,1N4148WS,D_SOD-323,-166.2,-54.8,270,bottom
D22,1N4148WS,D_SOD-323,-185.2,-54.8,270,bottom
D23,1N4148WS,D_SOD-323,-204.2,-54.8,270,bottom
D24,1N4148WS,D_SOD-323,-223.2,-54.8,270,bottom
D25,1N4148WS,D_SOD-323,-242.2,-54.8,270,bottom
D26,1N4148WS,D_SOD-323,-261.2,-54.8,270,bottom
D27,1N4148WS,D_SOD-323,-280.2,-54.8,270,bottom
D28,1N4148WS,D_SOD-323,-311,-54.8,270,bottom
D29,1N4148WS,D_SOD-323,-47.4,-73.8,270,bottom
D30,1N4148WS,D_SOD-323,-76,-73.8,270,bottom
D31,1N4148WS,D_SOD-323,-95,-73.8,270,bottom
D32,1N4148WS,D_SOD-323,-114,-73.8,270,bottom
D33,1N4148WS,D_SOD-323,-133,-73.8,270,bottom
D34,1N4148WS,D_SOD-323,-152,-73.8,270,bottom
D35,1N4148WS,D_SOD-323,-171,-73.8,270,bottom
D36,1N4148WS,D_SOD-323,-190,-73.8,270,bottom
D37,1N4148WS,D_SOD-323,-209,-73.8,270,bottom
D38,1N4148WS,D_SOD-323,-228,-73.8,270,bottom
D39,1N4148WS,D_SOD-323,-247,-73.8,270,bottom
D40,1N4148WS,D_SOD-323,-266,-73.8,270,bottom
D41,1N4148WS,D_SOD-323,-285,-73.8,270,bottom
D42,1N4148WS,D_SOD-323,-313.4,-73.8,270,bottom
D43,1N4148WS,D_SOD-323,-42.6,-92.8,270,bottom
D44,1N4148WS,D_SOD-323,-66.4,-92.8,270,bottom
D45,1N4148WS,D_SOD-323,-85.4,-92.8,270,bottom
D46,1N4148WS,D_SOD-323,-104.4,-92.8,270,bottom
D47,1N4148WS,D_SOD-323,-123.4,-92.8,270,bottom
D48,1N4148WS,D_SOD-323,-142.4,-92.8,270,bottom
D49,1N4148WS,D_SOD-323,-161.4,-92.8,270,bottom
D50,1N4148WS,D_SOD-323,-180.4,-92.8,270,bottom
D51,1N4148WS,D_SOD-323,-199.4,-92.8,270,bottom
D52,1N4148WS,D_SOD-323,-218.4,-92.8,270,bottom
D53,1N4148WS,D_SOD-323,-237.4,-92.8,270,bottom
D54,1N4148WS,D_SOD-323,-256.4,-92.8,270,bottom
D55,1N4148WS,D_SOD-323,-285,-92.8,270,bottom
D56,1N4148WS,D_SOD-323,-318.2,-92.8,270,bottom
D57,1N4148WS,D_SOD-323,-71.2,-111.8,270,bottom
D58,1N4148WS,D_SOD-323,-102,-111.8,270,bottom
D59,1N4148WS,D_SOD-323,-123.4,-111.8,270,bottom
D60,1N4148WS,D_SOD-323,-154.2,-111.8,270,bottom
D61,1N4148WS,D_SOD-323,-187.4,-111.8,270,bottom
D62,1N4148WS,D_SOD-323,-211.2,-111.8,270,bottom
D63,1N4148WS,D_SOD-323,-235,-111.8,270,bottom
D64,1N4148WS,D_SOD-323,-265.8,-111.8,270,bottom
D65,1N4148WS,D_SOD-323,-296.6,-111.8,270,bottom
D66,1N4148WS,D_SOD-323,-318.2,-35.8,270,bottom
R1,10K,R_0603,-22.9,-97.9,90,bottom
R2,5.1K,R_0603,-45.2,-29.85,270,bottom
R3,5.1K,R_0603,-50,-29.85,270,bottom
R4,22,R_0603,-48.4,-29.85,90,bottom
R5,22,R_0603,-46.8,-29.85,90,bottom
R6,10K,R_0603,-43.3,-112.8,45,bottom
U1,ATmega16U4-AU_(modified),TQFP-44_10x10mm_Pitch0.8mm,-38.2,-104.4,315,bottom
USB1,HRO-TYPE-C,HRO-TYPE-C-31-M-12,-47.6,-19,0,bottom
X1,16MHz,Crystal_SMD_5032-2pin_5.0x3.2mm,-26.05,-111.625,180,bottom
